,index,title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs,Other_prob,Aff_prob,UnAff_prob,Covered_prob,NotCovered_prob,Covered,NotCovered,entropy,model_name,Judgment,Judgment_prob,item
0,0,Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, it," it depends.
The insurance company's definition of ""emergency"" is not the same as the ordinary English speaker's definition of ""emergency."" The insurance company's definition of ""emergency",,-5.554084300994873,0.04427959271988598,-6.093837738037109,-5.695356369018555,0.03907660342300677,-6.781337738037109,0.0022923704425996303,0.000132393584772053,0.9166438038571072,0.04427959271988598,0.03907660342300677,0.5312093733737563,0.4687906266262437,True,False,0.3445064269536272,Llama-3.2-1B,Covered,0.5312093733737563,Emergency Damages Iversion
1,1,Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, it," it depends.
The insurance company argues that the police's entry into Joanne's home was not a ""perceived emergency"" because the police did not actually believe that a burglar was in the house",,-5.56050968170166,0.04686381468200583,-6.058518886566162,-5.63863468170166,0.04008474490805467,-6.824143886566162,0.0023699541223002945,0.00019453768086772296,0.9130514404099395,0.04686381468200583,0.04008474490805467,0.538983220687684,0.4610167793123159,True,False,0.35542408004073117,Llama-3.2-1B,Covered,0.538983220687684,Emergency Damages Iversion
2,2,Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, it," it depends.
The insurance company's definition of ""emergency"" is not the same as the ordinary English speaker's definition of ""emergency."" The insurance company's definition of ""emergency"" is not the same",,-5.304534435272217,0.05097553662936285,-5.765318870544434,-5.445159435272217,0.03908429968271478,-6.702818870544434,0.0023471946373661255,0.00023059505092050698,0.9099401636879224,0.05097553662936285,0.03908429968271478,0.5660185351961015,0.43398146480389854,True,False,0.3643136231019313,Llama-3.2-1B,Covered,0.5660185351961015,Emergency Damages Iversion
3,3,Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, it," it depends.
The first thing to note is that the policyholder's home is defined as ""the dwelling and all other buildings and structures attached to the dwelling, including the land on which the dwelling is located."" The",,-4.786049842834473,0.07438136471078165,-5.306474685668945,-5.645424842834473,0.05112151450756139,-6.400224685668945,0.002730590636458662,0.0002312555127737015,0.874497120781657,0.07438136471078165,0.05112151450756139,0.5926665999540698,0.40733340004593027,True,False,0.46257160807604847,Llama-3.2-1B,Covered,0.5926665999540698,Emergency Damages IIversion
4,4,Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, it," it depends.
The first thing to note is that the policyholder's home is defined as ""the dwelling and all other buildings on the policyholder's land, including the land itself."" The policyholder's land is the land on which the",,-4.936429023742676,0.06706759670424774,-5.62285852432251,-5.514554023742676,0.05560099055420122,-6.35723352432251,0.0026621624808380135,0.0002151357091223348,0.877331412741551,0.06706759670424774,0.05560099055420122,0.546738151984614,0.45326184801538616,True,False,0.45669913412227153,Llama-3.2-1B,Covered,0.546738151984614,Emergency Damages IIversion
5,5,Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, it," it depends.
The first thing to note is that the policyholder's home is defined as ""the dwelling and all other buildings and structures attached to the dwelling, including the land on which the dwelling is located",,-4.781098365783691,0.07361055689995612,-5.342933654785156,-5.655841827392578,0.050591746563172654,-6.452308654785156,0.0027234881085385484,0.00022355751764159147,0.8757976965368712,0.07361055689995612,0.050591746563172654,0.5926665999540698,0.4073334000459302,True,False,0.45916002062043654,Llama-3.2-1B,Covered,0.5926665999540698,Emergency Damages IIversion
6,6,Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""Yes, but only if the oil is kerosene oil.""
The insurance company's definition of ""kerosene oil"" is ""oil leaking from a fixed oil-fired heating installation."" The insurance company's definition of ""fixed oil-fired heating installation"" is ""a heating installation that uses oil as its fuel."" The",,-5.000880241394043,0.0947055693979769,-4.963964939117432,-5.528857231140137,0.07975008515378322,-5.713964939117432,0.003266063861681663,0.00018140204786211783,0.8255443454482398,0.0947055693979769,0.07975008515378322,0.5428632831725052,0.4571367168274948,True,False,0.5831629685862134,Llama-3.2-1B,Covered,0.5428632831725052,Escape of Oil Iversion
7,7,Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""Yes, but only if the oil is leaking from a fixed oil-fired heating installation.""
The insurance company's definition of ""fixed oil-fired heating installation"" is: ""an oil-fired heating installation that is permanently installed in a building and that is not portable.""
The insurance company's definition of ""oil"" is: """,,-4.731461524963379,0.09624706850375082,-4.853548526763916,-5.168961524963379,0.07613769791493567,-5.619173526763916,0.0034514476579070837,0.00030633339438965244,0.8276152335813135,0.09624706850375082,0.07613769791493567,0.5583269943353745,0.44167300566462553,True,False,0.5779599061691261,Llama-3.2-1B,Covered,0.5583269943353745,Escape of Oil Iversion
8,8,Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial," """," ""Yes, but only if the oil is leaking from a fixed oil-fired heating installation.""
The insurance company's definition of ""fixed oil-fired heating installation"" is: ""an oil-fired heating installation that is permanently installed in a building and that is not portable.""
The insurance company's definition of ""oil"" is: """,,-4.576963424682617,0.09737695508502607,-4.830206394195557,-4.985415458679199,0.07124250223944024,-5.720831394195557,0.0039569155502100885,0.0004404987462986284,0.8313805426755336,0.09737695508502607,0.07124250223944024,0.5774953651858117,0.42250463481418826,True,False,0.5685350334756905,Llama-3.2-1B,Covered,0.5774953651858117,Escape of Oil Iversion
9,9,Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""Yes, but only if the oil is not ""fixed oil-fired heating installation.""",,-4.707604885101318,0.09117752819964063,-4.727393627166748,-5.082447052001953,0.060737327849927684,-6.071143627166748,0.003647559183229864,0.0003212199226912113,0.8480851439504317,0.09117752819964063,0.060737327849927684,0.600188359260205,0.399811640739795,True,False,0.528245127149936,Llama-3.2-1B,Covered,0.600188359260205,Escape of Oil IIversion
