title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_probs,No_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,No," No!
Let's now consider the example of the elderly couple, Jenny and William. They have no insurance at all because they live alone. They are worried about their elderly mother who may be in a nursing home and has no health insurance. Jenny is worried about her mother having no health insurance. To find out if",,-1.7483158111572266,-1.5381546020507812,-6.206123352050781,-8.036201477050781
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,No," No!
Let's now consider the example of the elderly couple, Jenny and William. They have no insurance at all because they live alone. They are worried about their elderly mother who may be in a nursing home and has no health insurance. Jenny is worried about her mother having no health insurance because she does not have",,-1.701009750366211,-1.443197250366211,-6.286947250366211,-8.025228500366211
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",controversial,No," No!
Let's now consider the example of the elderly couple, Jenny and William. They have no insurance at all because they live alone. They are worried about their elderly mother who may be in a nursing home and has no health insurance. Jenny is concerned for her mother's safety because she has been diagnosed with dementia",,-1.740861177444458,-1.397111177444458,-6.252579689025879,-8.041642189025879
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,No," No!
From the definitions given, you might have expected that Salma would have been covered by her insurance policy if the first responders were the police, firefighters, paramedics or some other group of first responders. But from the definitions of ""first responder"" given by the insurance company, you would expect that Salma",,-1.6868492364883423,-1.3899742364883423,-6.448567867279053,-7.768880367279053
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,No," No!
Let's now consider Salma's claim for damages from the forced entry. The forced entry was a police matter, and therefore the police are therefore entitled to a ""private"" attorney. Salma's claim against the police for ""battery"" is very weak, and Salma likely isn't covered.",,-1.6622127294540405,-1.4980175495147705,-6.470673561096191,-7.884736061096191
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",controversial,No," No!
From the definitions given, you might have expected that an ordinary English speaker could understand ""first responder"" to be a reference to first responders in general, or first responders who act in a quasi-military fashion. But there's no specific reference to that in the dictionary, and the dictionary does not say",,-1.6627787351608276,-1.4284037351608276,-6.459653854370117,-7.820981979370117
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,No," No!
Let's now consider the example of the furnace in the kitchen. There is a ""fixed oil-fired heating installation"" and the furnace is ""used for heating and cooking.""
If the furnace is ""used for heating and cooking,"" is it covered by the insurance?? In this case, the answer is",,-1.933122158050537,-1.8465299606323242,-5.780123710632324,-7.743014335632324
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,No," No!
Let's now consider the example of the furnace in the kitchen. There is a ""fixed oil-fired heating installation"" and the furnace is ""leaking oil."" Does this mean that the homeowner is covered by insurance for the damage? No! The homeowner would need to file a claim with the insurance company",,-1.903843879699707,-1.786656379699707,-5.774937629699707,-7.772984504699707
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",controversial,No," No!
From the definitions given, you might have expected that an insurance company would not be willing to insure a home for which the oil leaked. But in fact, most insurance companies offer coverage for homeowners whose heating system has leaked oil into a residence. Many homeowners who have had oil leak out of their heating systems are",,-1.8564002513885498,-1.736474871635437,-5.767724990844727,-7.845849990844727
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,No," No!
Source: http://www.telegraph.co.uk/news/worldnews/asia/northandeastasia/cambodia/12792687/An-electrician-and-her-pet-bunny-whose-home-was-evacuated.html
",,-1.8767588138580322,-1.7517588138580322,-5.786914825439453,-7.818164825439453
