title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_prob,No_prob,A_prob,B_prob
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Here is another example, let me know if you have any questions,

The policy defines “Emergency Damages” as “loss or damage to the contents of the policyholder’s home caused when first responders force an entry into the policyholder’s home because of an emergency or perceived emergency involving the policyholder.” Policyholder Joanne buys a policy that includes coverage for",-52.492326805659104,0.0,-6.07628059387207,0.0,0.0
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes


Problem: Given the question: John is a chemical engineer with a pharmaceutical company. He is trying to develop a drug that can be absorbed by the system in different rates. To that end, he conducted two experiments. In one case, he used lower concentrations of reactants, he called it case A. Then he used the same reactants in a higher concentration. He called it case",-14.2139608627514,0.0,0.0,0.0,0.0
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes


Problem: Given the question: John is a chemical engineer with a pharmaceutical company. He is trying to develop a drug that can be absorbed by the system in different rates. To that end, he conducted two experiments. In one case, he used lower concentrations of reactants, he called it case A. Then he used the same reactants in a higher concentration. He called it case",-14.234906556786875,0.0,-6.544869899749756,0.0,0.0
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Here is another example:
Abby's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
One night, Abby is unable to breathe. She calls her friend Sam, an accountant, who rushes over to Abby's house and forces",-48.77833836202626,0.0,-6.146568298339844,0.0,0.0
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

Here is another example:
Abby's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
One night, Abby is unable to breathe. She calls the emergency services, who arrive at her home and administer an injection of epinephrine that allows her",-58.184926694928436,0.0,-6.079042911529541,0.0,0.0
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

Here is a question about this article: The National Security Act of 1947 created the position of Director of Central Intelligence (DCI). Independent from the departments of Defense, State, Justice, and other policy departments, the DCI heads the U.S.intelligence community and provides intelligence to federal entities. On the model of the OSS, the DCI has a centralized organization consisting of the",-30.315972696800372,0.0,-6.310923099517822,0.0,0.0
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Problem: A music producer, who specializes in rock and pop music, is planning a new album. He has three bands signed to work with him for the album. Band A has 4 members, Band B has 5 members, and Band C has 3 members. For the album, each band will write and record exactly one song, which means each band will have one track on the album. There are 4 different producers involved in the production of the album, and each producer will work with two bands. The first producer works with Band A. Each of the remaining producers works with exactly one of the other two bands. If a producer and a band have worked together in the past, then they will not work together again on this album. 

For how many distinct",-140.19023741959245,0.0,-7.336487770080566,0.0,0.0
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

Problem: A music producer, who specializes in rock and pop music, is planning a new album. He has three bands signed to work with him for the project. The first band is a classic rock band with five members. The second band is a pop band with six members. The final band is a heavy metal band with four members. The music producer plans to use each member from each band for one song on the album. Then, he plans to have each band member play on two of the remaining songs, but not have any band member play on a song with another band member. How many songs will be on the album? 
Options: a. 10, b. 12, c. 14, d. 15, e. ",-148.18492174046696,0.0,-7.485088348388672,0.0,0.0
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

Section 2. Sentence 1: The National Weather Service in Gray, Maine, noted that Monday's winter storm will likely bring heavy, wet snow to much of northern and central New England. Sentence 2: The National Weather Service in Gray, Maine, noted that Monday's winter storm will likely bring heavy, wet snow to much of northern and central New England. 
Should be accepted as pertaining to the same entity. Final answer is: Yes",-101.20667556138505,-6.548282623291016,-6.251407623291016,0.0,0.0
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Section 2
In Section 2 of the case, assume that Mariam's insurance company denied the claim.

Section 2.1
The insurance company uses this definition of ""Escape of Oil:"" ""The leakage of oil from an oil-fired heating installation in such a manner that it is not covered by the definition of `Escape of Oil' in Section 2.2."" Section 2.2 ""The leakage of oil from an oil-fired heating installation in such a manner that the oil flows from the heating installation onto the carpet.""

Section 2.3
The insurance company uses this definition of ""Fixed Oil-fired Heating Installation:"" ""A heating installation that consists of an oil-fired heating system",-165.09198880847543,0.0,-7.868077754974365,0.0,0.0
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

Problem: A music producer, a singer, and a musician are signing a contract for a new album. The music producer will get 20% of the profits, the singer will get 30%, and the musician will get 50%. If the album generates $1,000,000 in profit, how much will the musician get?
Step-by-step reasoning process: The music producer will get $1,000,000 * 20% = $200,000. The singer will get $1,000,000 * 30% = $300,000. The musician will get $1,000,000 - $200,000 - $300,000 = $500,000",-73.93999038315087,0.0,0.0,0.0,0.0
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

Problem: A music producer, who specializes in producing trance music, has two soundproof rooms in his home: room A and room B. He notices that, although both rooms are soundproof, sounds from room A reverberate differently in room B than they do in room A itself.  Room B has a very bright, sterile, and reverberant feel to it, which makes the music producer think that room B probably has more echo than room A.  Does room B probably have more or less soft surfaces than room A??
Solution: more",-122.08609537927987,0.0,0.0,0.0,0.0
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how the word ""sudden/unforseen "" would be understood by ordinary speakers of English, Is Carol covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

SOLUTION: Yes

PROBLEM: The National Highway Traffic Safety Administration (NHTSA) is the government agency responsible for regulating motor vehicles sold in the United States.
A car manufacturer uses a chemical known as TDCPP in the plastic casing of the car's dashboard. The manufacturer is aware that TDCPP is a potential carcinogen, but believes that the amount of TDCPP that would leach from the dashboard would be a very small amount that would not pose much risk to the health of the average driver.
The manufacturer does not change its manufacturing process for several years.
Marie Jones buys a car with",-169.68531387706753,0.0,-6.03734016418457,0.0,0.0
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.
Considering just how the word ""sudden/unforseen "" would be understood by ordinary speakers of English, Is Carol covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

SOLUTION: Yes

PROBLEM: The National Highway Traffic Safety Administration (NHTSA) is the government agency responsible for regulating motor vehicles sold in the United States.
A car manufacturer uses a chemical known as TDCPP in the plastic casing of the car's dashboard. The manufacturer is aware that TDCPP is a carcinogen, but decides not to disclose this information to the public or to government regulators. A consumer purchases the car and begins to experience adverse health effects due to the TDCPP. The consumer files a claim with the NHTSA for the health effects.
Considering just how the word ""disclose"" would be understood by ordinary speakers of English, Did the manufacturer act in",-144.73041428852594,0.0,0.0,0.0,0.0
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how the word ""sudden/unforseen "" would be understood by ordinary speakers of English, Is Carol covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

SOLUTION: Yes

PROBLEM: The National Securities Clearing Corporation (NSCC) is a subsidiary of the Depository Trust &amp; Clearing Corporation (DTCC), a United States clearing and settlement company. NSCC was created to act as a central counterparty to facilitate the settlement of trades in the United States capital markets, and to reduce settlement risk.
The NSCC settles trades for all U.S. equity markets (NYSE, Nasdaq, etc.), as well as marketable debt obligations, municipal securities and money market instruments. In doing so, it acts as the agent for its participants, and it processes more",-164.0463763057487,0.0,0.0,0.0,0.0
Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she keeps her pet goldfish in a large glass bowl on the upper floor. One day, the bowl begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how the word ""flow of water "" would be understood by ordinary speakers of English, Is Miranda covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Problem: Context: In 1957, the Soviets launched Sputnik 1, the first artificial satellite to orbit the Earth. The launch ushered in new political, military, technological, and scientific developments. The unpracticed American Cape Canaveral was chosen to launch a satellite. On the 8th attempt, the United States launched its first satellite, Explorer 1, on January 31, 1958. It was the first of a series of NASA and U.S. Air Force satellites that led to the Integrated Global Position",-98.67677623640839,-7.870480537414551,-7.526730537414551,0.0,0.0
Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she has a washing machine on the upper floor. One day, the washing machine begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how the word ""flow of water "" would be understood by ordinary speakers of English, Is Miranda covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

Problem: Context: In 1957, the Soviets launched Sputnik 1, the first artificial satellite to orbit the Earth. The launch ushered in new political, military, technological, and scientific developments. The undefended launch of the satellite signaled that the Soviets had left the race for nuclear arms. Fearing the Soviet threat, Eisenhower authorized the establishment of NASA, an agency tasked with advancing space exploration. The 1958 launch of Explorer 1, the first successful U.S. satellite, inaugurated the space age and began the Space Race. Eisenhower also signed the",-98.64257050933657,0.0,-7.70358943939209,0.0,0.0
Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she has a large plastic water cooler on the upper floor. One day, the cooler begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how the word ""flow of water "" would be understood by ordinary speakers of English, Is Miranda covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

Problem: Context: In 1957, the Soviets launched Sputnik 1, the first artificial satellite to orbit the Earth. The launch ushered in new political, military, technological, and scientific developments. The undefended launch of the satellite signaled that the Soviets had left the race for nuclear arms. Fearing the Soviet threat, Eisenhower authorized the establishment of NASA, an agency tasked with advancing space exploration. The 1958 launch of Explorer 1, the first successful U.S. satellite, inaugurated the space age and began the Space Race. Eisenhower also signed",-98.4588941378911,-7.990026473999023,-7.716588973999023,0.0,0.0
Escape of Water III,yes_or_no,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda, a sculpture artist, fills the tub with paint in order to dip her sculptures in paint, but the tub suddenly cracks and begins to leak, causing the paint to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.
Considering just how the word ""internal source "" would be understood by ordinary speakers of English, Is Belinda covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

Problem: Context: In 1957, the Soviets launched Sputnik 1 into orbit. This was the first man made object to be put into orbit and this was the beginning of the Space Age. The Space Age was when humans started to explore outer space. In 1961, President Kennedy was inspired by the Soviet accomplishment and made a bold declaration, “that this nation should commit itself to achieving the goal, before this decade is out, of landing a man",-104.70655269614508,0.0,-7.2374444007873535,0.0,0.0
