title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
Joanne's insurance company, however, does cover the dogs' owners, who are not Joanne's neighbors. The insurance company also covers the dogs' owners' pets, which are not Joanne's pets.
Joanne's insurance company, however, does cover the dogs' owners' pets,",,-5.433445930480957,-2.965106964111328,-2.277606964111328,-4.715106964111328,-2.215106964111328,-1.9651069641113281,-5.465106964111328,-8.527606964111328
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
Joanne's insurance company, however, does cover the damage caused by the forced entry. The policyholder is not required to pay for the damage, but the policyholder is required to pay for the ""perceived emergency"" caused by the forced entry.
The policyholder is not required to pay for",,-5.500540733337402,-3.0630409717559814,-2.3130409717559814,-4.813040733337402,-2.2505409717559814,-1.9380409717559814,-5.438040733337402,-8.500540733337402
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, no," no.
Joanne's insurance company, however, does cover the damage caused by the forced entry. The policyholder is not required to pay for the damage, but the policyholder is required to pay for the ""perceived emergency"" caused by the forced entry.
The policyholder is not required to pay for",,-5.5088348388671875,-3.0713346004486084,-2.2588346004486084,-4.8838348388671875,-2.2588346004486084,-1.9463346004486084,-5.4463348388671875,-8.571334838867188
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
The insurance company's response to Salma's claim is that she is not covered by the policy because she is a ""first responder."" The insurance company's response to Salma's claim is that she is not covered by the policy because she is a ""first responder.""
The insurance company's",,-5.617640972137451,-3.1232118606567383,-2.1232118606567383,-5.435711860656738,-2.6232118606567383,-1.8107118606567383,-5.560711860656738,-8.623211860656738
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
The law is clear: ""The term 'first responder' means a person who is present at the scene of an emergency and who is able to assist the responding officer in the performance of his or her duties.""
The law also states that ""the term 'first responder' does not include a",,-5.564230918884277,-3.1267306804656982,-2.1892306804656982,-5.314230918884277,-2.5642306804656982,-1.8767306804656982,-5.501730918884277,-8.564230918884277
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, no," no.
The insurance company, however, does cover the damage caused by the forced entry. The policyholder is not required to pay for the damage, but the policyholder is required to pay for the cost of the insurance.
The insurance company's policy is not a ""first responder"" policy, but rather",,-5.649742126464844,-3.149742364883423,-2.149742364883423,-5.524742126464844,-2.587242364883423,-1.8372423648834229,-5.524742126464844,-8.587242126464844
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
Madison's insurance company, however, does cover her for the damage caused by the oil. The insurance company's policy states that ""the owner of the property is responsible for the damage caused by the oil.""
Madison's insurance company, however, does not cover the damage caused by the oil. Madison",,-4.993862628936768,-2.7766499519348145,-1.964150071144104,-5.4016499519348145,-2.5891499519348145,-2.0266499519348145,-5.6516499519348145,-8.589150428771973
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""No.""
Madison's insurance company, however, does cover the damage caused by the oil leaking from the heater. Madison's insurance company, however, does cover the damage caused by the oil leaking from the heater.
Madison's insurance company, however, does cover the damage caused by the oil leaking from the heater",,-4.90800666809082,-2.7830066680908203,-2.0955066680908203,-5.22050666809082,-2.5330066680908203,-2.0330066680908203,-5.72050666809082,-8.72050666809082
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial," """," ""No.""
Madison's insurance company, however, does cover the damage to her hardwood floors, and Madison's insurance company does cover the damage to her hardwood floors, and Madison's insurance company does cover the damage to her hardwood floors, and Madison's insurance company does cover the damage to her hardwood",,-4.811640739440918,-2.811640739440918,-1.9366406202316284,-5.186640739440918,-2.686640739440918,-1.9991406202316284,-5.811640739440918,-8.624140739440918
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
Mariam's insurance company, however, does cover the damage caused by the oil lamp. The company's policy states that ""the owner of the oil lamp shall be responsible for the cost of repairing the oil lamp.""
The insurance company's policy also states that ""the owner of the oil lamp shall",,-4.941022872924805,-3.0067074298858643,-2.0067074298858643,-4.819207191467285,-2.5067074298858643,-2.0067074298858643,-5.569207191467285,-8.631707191467285
