title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_probs,No_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,"Yes,"," Yes, she is. What if the emergency was caused by a trap? No, Joanne is not covered.
Now, as for the Third Party Policyholder, the carrier is the new carrier. Now we come to the original carrier. The original carrier's liability for the collision is the same as that of the",,-0.8268340229988098,-1.834653377532959,-7.069028377532959,-8.1705904006958
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,"Yes,"," Yes, she is. What if the emergency was caused by a fire? Is the fire claim covered by the homeowner's policy? No, the fire claim is not covered by the homeowner's policy.
In this case, the original homeowner's insurance policy would have covered the claim. If the burglar's insurance policy",,-0.8433032035827637,-1.8276782035827637,-6.991740703582764,-8.064006805419922
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",controversial,"Yes,"," Yes, she is. What if the emergency was caused by a sudden fire, such as a fire alarm going off, but Joanne didn't see the alarm go off? Would she be covered by the insurance? Of course she is.
Joanne's insurance does not cover the medical expenses incurred after the forced entry",,-0.8522655963897705,-1.8757030963897705,-6.891327857971191,-7.965546607971191
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,"Yes,"," Yes, she is. What if the emergency was caused by a fire? Is Salma covered by the insurance? Yes or No? Final answer is: Yes, she is.
The new policy, effective this month, is much more generous in that it covers ""First Responders' Losses and Damage of Property",,-1.0378233194351196,-1.9128233194351196,-6.78391695022583,-8.078839302062988
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,"Yes,"," Yes, she is. What if the police are not able to enter her home without further force? Does the homeowner have a right to refuse to let them in? Yes, she does. In fact, the homeowner may not be required to let the police in.
The purpose of these cases is to show that the",,-1.016219139099121,-1.8835663795471191,-6.852316379547119,-8.135519027709961
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",controversial,"Yes,"," Yes, she is. What if the emergency was caused by a fire? Is Salma covered by the insurance? Yes or No? Final answer is: Yes, she is.
The new policy, effective this month, is much more generous in that it covers ""First Responders' Losses and Damage of Property",,-1.0456366539001465,-1.8971991539001465,-6.7956366539001465,-8.078840255737305
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,"Yes,"," Yes, she is covered by the insurance. This is a major loophole in the law, and it creates the problem of ""leaking"" to begin with.
What is more, the oil does not leak from the kitchen stove but from the hot water in the house. I can't imagine that I would be able",,-1.3241931200027466,-1.503934621810913,-6.480497360229492,-8.103544235229492
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,"Yes,"," Yes, she is covered by the insurance. This is a major loophole in the law, and it creates the problem of ""leaking"" to begin with.
What is more, the oil does not leak from the heater but from a faulty oil seal in the house. I can't imagine a better way to avoid",,-1.322105884552002,-1.478355884552002,-6.568199634552002,-8.193199157714844
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",controversial,"Yes,"," Yes, she is covered by the insurance. This is a major loophole in the law, and it creates the problem of ""leaking"" to begin with.
What is more, the new law says that if the fire is a result of an illegal or improper use of a gas heater, the home owner must pay",,-1.3689671754837036,-1.5405805110931396,-6.610893249511719,-8.171440124511719
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,"Yes,"," Yes, she is covered by the insurance. This is a major loophole in the law, and it creates the problem of ""secondary insurance"" for homeowners with other claims that they are not covered by the primary insurance.
This is also a problem in California which has very lax regulations on these issues. I would like to",,-1.172391414642334,-1.758328914642334,-6.633328914642334,-7.986844539642334
