title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no. The reason is that the phrase ""perceived emergency"" is ambiguous. It could mean either ""an emergency that the policyholder perceives"" or ""an emergency that",,-4.069319248199463,-2.5992326736450195,-2.5601701736450195,-3.0836076736450195,-1.278920292854309,-1.185170292854309,-5.9429826736450195,-9.14610767364502
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, No, No. The reason is that the policyholder must have a reasonable belief that an emergency exists. Joanne's belief that a burglar was in her home was unreasonable because she had no evidence that a,,-3.811835289001465,-2.389960289001465,-2.718085289001465,-2.983710289001465,-1.1868354082107544,-1.4758979082107544,-5.608710289001465,-8.940741539001465
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, No," No. The reason is that the phrase ""perceived emergency"" is ambiguous. It could mean either ""an emergency that the policyholder perceives"" or ""an emergency that others perceive."" If it",,-3.8401756286621094,-2.4651756286621094,-2.6526756286621094,-2.9651756286621094,-1.2620505094528198,-1.3558005094528198,-5.730800628662109,-9.15658187866211
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, No," No. The reason is that the policy defines ""first responders"" as ""police officers, firefighters, and emergency medical technicians."" Salma's friend Sam is not a first responder. Salma is not covered by",,-3.8415517807006836,-2.62772798538208,-2.85429048538208,-2.97147798538208,-1.2683531045913696,-1.3152281045913696,-5.51835298538208,-8.940228462219238
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, No," No. The reason is that the term ""first responders"" is typically understood to refer to medical personnel, such as paramedics and EMTs, who are the first to arrive at the scene of an emergency. It is unlikely that ordinary",,-3.624579429626465,-2.397520065307617,-2.803770065307617,-2.803770065307617,-1.2725199460983276,-1.3975199460983276,-5.780332565307617,-9.088926315307617
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, No," No. The reason is that the policy defines ""first responders"" as ""police officers, firefighters, and emergency medical technicians."" Salma's friend Sam is a firefighter, but he is off-duty,",,-3.685892105102539,-2.545267105102539,-2.779642105102539,-2.881204605102539,-1.2952672243118286,-1.3577672243118286,-5.568704605102539,-9.014017105102539
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, No," No.
The reason is that the policy defines ""leaking"" as oil leaking from a fixed oil-fired heating installation. Madison's spill was not from a fixed installation, but from a container she was carrying. So, the policy's definition of ""leaking"" does not cover Madison's situation. This is an example",,-3.793945789337158,-2.544097423553467,-2.583159923553467,-3.051909923553467,-1.2003475427627563,-1.2315975427627563,-6.520659923553467,-9.508941650390625
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no.
The reason is that ""leaking"" is a more general term than ""oil leaking from a fixed oil-fired heating installation."" Madison's insurance policy only covers damage from the latter, not the former. Madison's heater is leaking oil, but that's not the same as oil leaking from a fixed oil-fired heating",,-3.5684702396392822,-2.4200327396392822,-2.2715952396392822,-3.0606577396392822,-1.3731577396392822,-1.2169077396392822,-6.701282501220703,-9.630970001220703
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial, no," no. Madison is not covered by the insurance because the oil did not leak from the heater itself, but rather from the friend's mistake while attempting to fix it. The insurance policy only covers damage from the heater itself, not from the actions of others. [Ans: no] (Adapted from an example in",,-3.6046783924102783,-2.4171783924102783,-2.2296783924102783,-3.0578033924102783,-1.4484283924102783,-1.1749908924102783,-6.807803153991699,-9.7413969039917
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no. The reason is that the phrase ""fixed oil-fired heating installation"" is a technical term that refers to a specific type of heating system, and it is not meant to include portable oil lamps. The insurance company will likely deny Mariam's claim. [Note: This is a classic example of a ""technical term",,-3.838498115539551,-2.505627155303955,-2.357189655303955,-3.138439655303955,-1.482189655303955,-0.9665647149085999,-6.974377155303955,-9.982190132141113
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no. The reason is that the phrase ""fixed oil-fired heating installation"" is ambiguous. It could mean either a heating installation that is fixed in place (i.e., not portable) or a heating installation that is fixed (i.e., not broken). The insurance company might argue that the heater was not ""fixed""",,-3.4701082706451416,-2.2435457706451416,-2.1341707706451416,-3.0951082706451416,-1.5247957706451416,-1.1341707706451416,-6.9388580322265625,-9.977920532226562
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",controversial, no," no. (This is a tricky question, and you may need to think about it for a while.) The key is that the policy defines ""heating installation"" as ""fixed oil-fired heating installation."" The word ""heating"" is crucial here. A lamp is not a heating installation, even if it is oil",,-3.7820096015930176,-2.5007596015930176,-2.3523221015930176,-3.1257596015930176,-1.4695096015930176,-0.9773220419883728,-6.985134601593018,-10.02810287475586
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no. [Note: This is a classic example of a ""fuzzy"" or ""vague"" term in a contract.]
The term ""sudden"" is often used in insurance policies to describe an event that occurs quickly, without warning. In this case, the leak was not sudden, as it occurred over",,-4.10138463973999,-3.4295096397399902,-2.7966971397399902,-2.5779471397399902,-1.6248221397399902,-0.8123221397399902,-6.73419713973999,-9.480291366577148
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.
Considering just how ""sudden/unforseen"" would be understood by ordinary speakers of English, is Carol covered by the insurance—yes or no? Final answer is:",unambiguous_covered, no," no. [Note: This is a classic example of a ""hedging"" device, where the policy uses a phrase that is intentionally ambiguous, to limit the scope of coverage.] — Source: ""The Language of Insurance"" by David M. Rabban, 2008. (Thanks to David Rabban for pointing",,-2.428372859954834,-2.420560359954834,-1.983060359954834,-2.217435359954834,-2.084622859954834,-1.420560359954834,-6.217435359954834,-9.127592086791992
