title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes.
The insurance company's policy is ambiguous, and the ambiguity is resolved in favor of Joanne. The insurance company's policy is ambiguous because it does not specify whether the",,-4.41779899597168,-2.1566007137298584,-1.6409757137298584,-4.8284759521484375,-2.3753507137298584,-2.2816007137298584,-7.0784759521484375,-9.156600952148438
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes.
The insurance company's policy is ambiguous, and the ambiguity is resolved in favor of Joanne. The ambiguity is resolved by the ""ordinary meaning"" of the words ""perceived emergency."" The",,-4.41082239151001,-2.0358223915100098,-1.4889473915100098,-5.30925989151001,-2.6451973915100098,-2.4420723915100098,-7.03582239151001,-8.942071914672852
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, yes," yes.
The insurance company's policy is ambiguous, and the ambiguity is resolved in favor of Joanne. The ambiguity is resolved by the insurance company's own rules, which state that ""Emergency Damages",,-4.413466453552246,-2.093153715133667,-1.546278715133667,-5.015028953552246,-2.468153715133667,-2.265028715133667,-7.038466453552246,-8.850966453552246
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes.
The insurance company's policy is ambiguous, but the ambiguity is resolved by the reasonable expectations of the insured. Salma's reasonable expectations are that her insurance policy will cover the costs of damage caused by a burg",,-4.659963607788086,-2.1225833892822266,-1.606958270072937,-5.403833389282227,-2.6538333892822266,-2.3257083892822266,-7.052270889282227,-9.106958389282227
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes.
The insurance company's policy is ambiguous, and the ambiguity is resolved in Salma's favor. The insurance company's policy is ambiguous because it does not specify whether ""emergency"" means ""emergency involving the policyholder"" or ""emergency",,-4.738086700439453,-2.245899200439453,-1.7146493196487427,-5.394336700439453,-2.667774200439453,-2.355274200439453,-7.011524200439453,-8.988086700439453
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, yes," yes.
The insurance company's policy is written in a way that makes it clear that the company will cover the cost of damage caused by a forced entry by a first responder. The policy is written in a",,-4.663293838500977,-2.1242311000823975,-1.5929811000823975,-5.585168838500977,-2.7804811000823975,-2.4836061000823975,-7.061731338500977,-9.163293838500977
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes.
The insurance company's policy is written in a way that covers the damage Madison caused. The policy is written in a way that covers the damage Madison caused. The policy is written in a way that covers the damage Madison caused. The policy is written in a way that covers the damage Madison caused. The policy is",,-4.027151584625244,-1.9580014944076538,-1.8486264944076538,-4.715814113616943,-2.4892516136169434,-2.8173766136169434,-6.778314113616943,-8.411126136779785
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes.
The insurance company's policy is written in a way that covers the damage. The policy defines ""leaking"" as ""oil leaking from a fixed oil-fired heating installation."" The policy does not define ""fixed oil-fired heating installation,"" but the insurance company's agent explains that this means a heater that is permanently installed",,-4.134255886077881,-1.9545685052871704,-1.6889435052871704,-4.931130886077881,-2.595193386077881,-2.735818386077881,-6.923318386077881,-8.532693862915039
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial, yes," yes.
The insurance company's policy is written in a way that covers the damage. The policy is written in a way that covers the damage because the policy is written in a way that covers the damage. The policy is written in a way that covers the damage because the policy is written in a way that covers the damage",,-4.018411636352539,-1.9715368747711182,-1.6590368747711182,-4.784036636352539,-2.627786874771118,-2.690286874771118,-6.940286636352539,-8.721536636352539
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes.
The insurance company's policy is ambiguous, but the ambiguity is not in the words ""oil"" and ""heating installation."" The ambiguity is in the phrase ""fixed oil-fired heating installation."" The phrase is ambiguous because it is not clear whether ""fixed"" modifies ""oil"" or ""heating installation."" The",,-4.501367092132568,-2.2290291786193848,-1.4946540594100952,-4.932154178619385,-2.6040291786193848,-2.1352791786193848,-7.111841678619385,-8.682153701782227
