title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_probs,No_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes. The insurance company will pay for the damage caused by the forced entry, because the damage was caused by a perceived emergency. The insurance company will not pay for the damage caused",,-2.5492606163024902,-3.0327985286712646,-6.362876892089844,-6.972251892089844
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes. The insurance company will pay for the damage caused by the forced entry, because the police were forced to make the entry in order to assess the situation. The insurance company will not pay for the damage",,-2.5591163635253906,-3.0669288635253906,-6.215366363525391,-6.793491363525391
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, yes, yes. The insurance company will pay for the damage caused by the forced entry because the damage was caused by a perceived emergency. The insurance company will not pay for the damage caused by the burglar because the,,-2.619710683822632,-3.025960683822632,-6.240804672241211,-6.770101547241211
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes. The insurance company will pay for the damage caused by the forced entry, because the forced entry was a ""first responder"" emergency. The insurance company will not pay for the damage caused by the burglar, because",,-2.386343479156494,-3.030874729156494,-6.194937229156494,-6.513296604156494
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes. The reason is that the insurance company is not required to cover the damage caused by the police, but it is required to cover the damage caused by the burglar. The insurance company is not required to cover the damage caused by the police",,-2.4394335746765137,-3.013979434967041,-6.226870059967041,-6.685854434967041
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, yes," yes. The insurance company will pay for the damage caused by the forced entry, because the forced entry was a ""first responder"" emergency. The insurance company will not pay for the damage caused by the burglar",,-2.3511962890625,-3.0426025390625,-6.2593994140625,-6.5797119140625
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes. The insurance company will pay for the damage to the floors, because the damage is caused by ""Escape of Oil."" The insurance company will not pay for the damage to the floors caused by ""leaking"" because the damage is caused by ""leaking.""
The insurance company will pay for the damage to the floors",,-2.3644752502441406,-2.8136940002441406,-6.639865875244141,-8.06662368774414
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes. The insurance company will pay for the damage to the hardwood floors, because the oil is leaking from the heater, and the oil is a ""fixed oil-fired heating installation."" The insurance company will not pay for the damage to the hardwood floors caused by the oil leaking from the heater, because the oil is not a",,-2.337515115737915,-2.903921365737915,-6.698843002319336,-7.819936752319336
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial, yes," yes. The insurance company will pay for the damage to the hardwood floors, because the damage is caused by ""leaking oil"" from the heater. The insurance company will not pay for the damage to the hardwood floors caused by the friend's mistake, because the damage is caused by ""leaking oil"" from the heater",,-2.3919148445129395,-2.9622273445129395,-6.7591023445129395,-7.6419148445129395
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes. The insurance company will pay for the damage to the carpet and the floor, because the damage is caused by the ""Escape of Oil"" from the heating installation. The insurance company will not pay for the damage to the lamp, because the lamp is not part of the ""heating installation."" The insurance company will",,-2.6704320907592773,-2.9360570907592773,-6.479025840759277,-7.371603965759277
