title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_probs,No_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered,<pad>,,,,,,
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered,<pad>,,,,,,
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial,<pad>,,,,,,
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered,<pad>,,,,,,
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered,<pad>,,,,,,
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial,<pad>,,,,,,
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered,<pad>,,,,,,
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered,<pad>,,,,,,
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial,<pad>,,,,,,
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered,<pad>,,,,,,
