title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_probs,No_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, Yes," Yes.
The insurance company's response to Joanne's claim is to deny the claim. The insurance company's response to Joanne's claim is to deny the claim.
The insurance company's response to Joanne's claim is to deny the claim.
The insurance company's response to Joanne's claim is",,-1.5289844274520874,-2.014033794403076,-7.256221294403076,-8.695673942565918
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, Yes," Yes.
The insurance company's policy states that ""the insured shall be liable for any damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
The policy also states that ""the insured shall be",,-1.5680322647094727,-2.0445947647094727,-7.165688514709473,-8.724282264709473
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, Yes," Yes.
The insurance company's policy states that ""the insured shall be liable for any damage to the contents of the policyholder's home caused by the forced entry of the insured into the home.""
The insurance company's policy also states that ""the insured shall be liable for any damage to the contents of the policy",,-1.5685193538665771,-2.1001315116882324,-7.064975261688232,-8.54153823852539
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, Yes," Yes.
The insurance company, however, is not so sure. The policyholder's home is not ""in the home of the insured,"" and the policyholder's home is not ""in the home of the insured's spouse."" The policyholder's home is ""in the home of the insured's spouse,"" and",,-1.8860901594161987,-2.1985902786254883,-7.069684028625488,-8.768902778625488
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, Yes," Yes.
The insurance company will pay for the damage to the home, but not for the cost of the forced entry. The insurance company will also pay for the cost of the police investigation, but not for the cost of the forced entry.
The insurance company will pay for the cost of the police investigation, but",,-1.8340749740600586,-2.0918874740600586,-7.111418724060059,-8.843840599060059
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, Yes," Yes.
The insurance company, however, is not so sure. The policyholder's home is not insured, and the policyholder is not a ""first responder."" The policyholder is a ""resident.""
The policyholder is a resident of the home, and the policyholder is a ""first responder",,-1.9042208194732666,-2.1854708194732666,-7.0800018310546875,-8.765548706054688
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
The insurance company's response: ""We are not covering this claim.""
Madison's insurance company is not the only one to have a problem with the term ""Escape of Oil.""
In the United States, the term ""Escape of Oil"" is used to describe a variety of situations,",,-2.243971109390259,-1.9000895023345947,-6.681339263916016,-8.976261138916016
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""No.""
The insurance company's response: ""We are not covering this claim.""
Madison is not alone. In fact, the insurance industry is not even covering the damage.
The National Association of Insurance Commissioners (NAIC) has a list of ""leaking"" claims, which includes ""oil leaking from",,-2.2718586921691895,-1.928108811378479,-6.7288899421691895,-9.041390419006348
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial, no," no.
The insurance company's response to Madison's claim is to deny the claim.
The insurance company's response to Madison's claim is to deny the claim.
The insurance company's response to Madison's claim is to deny the claim.
The insurance company's response to Madison's claim is to deny the",,-2.374236583709717,-2.023254156112671,-6.69122314453125,-8.91973876953125
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, no," no.
Mariam's insurance company, however, is not so sure. They are not sure whether Mariam is covered by the insurance because the oil lamp is not a ""fixed oil-fired heating installation.""
The insurance company's response: ""We are not sure if the lamp is a fixed oil-fired",,-2.1699326038360596,-2.1699326038360596,-6.8847761154174805,-8.80469799041748
