title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_probs,No_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
The answer is that the insurance company will not pay for damage caused by a dog. The reason is that the insurance company does not consider dogs to be ""property"" under the law. The insurance company considers dogs to be ""personal property"" and therefore will not pay for damage caused by a dog.",,-2.9922027587890625,-3.116936206817627,-6.562248706817627,-8.759514808654785
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""No.""
The answer is that the insurance company would not be able to determine whether the ""emergency"" was ""perceived"" or ""real."" The insurance company would not be able to determine whether the ""emergency"" was ""real"" or ""perceived.""
The insurance company would not be able",,-3.174640655517578,-3.241046905517578,-6.662921905517578,-8.817218780517578
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial," """," ""No.""
The answer is that the insurance company will not pay for damage caused by a perceived emergency. The insurance company will not pay for damage caused by a perceived emergency because the insurance company does not consider the damage to be ""perceived.""
The insurance company will not pay for damage caused by a perceived emergency",,-3.183746337890625,-3.11329984664917,-6.59376859664917,-8.732440948486328
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""It depends.""
The answer depends on the context in which the word ""first responder"" is used. In the context of a home insurance policy, the word ""first responder"" is used to describe a person who is called to a home to assess the situation. In the context of a police report,",,-3.3931541442871094,-3.2056541442871094,-6.764247894287109,-8.43612289428711
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""It depends.""
The answer depends on the meaning of the word ""first responder.""
The word ""first responder"" is used in the context of emergency services. It is used to describe a person who is trained to respond to an emergency situation. The word ""first responder"" is not used to",,-3.270704984664917,-3.270704984664917,-6.819533348083496,-8.628127098083496
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial," """," ""It depends.""
The answer depends on the context in which the word ""first responder"" is used. In the context of a home insurance policy, the word ""first responder"" is used to describe a person who is trained to respond to a fire, a medical emergency, or a crime. In the",,-3.3469600677490234,-3.2297725677490234,-6.757116317749023,-8.446569442749023
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
The insurance company's definition of ""leaking"" is not the same as the ordinary meaning of the word. The insurance company's definition of ""leaking"" is ""the release of a liquid or gas from a container or containerized product.""
The insurance company's definition of ""leaking""",,-3.5007741451263428,-3.2194204330444336,-6.574889183044434,-8.861021995544434
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered," """," ""No.""
The answer is not clear-cut. The insurance company's definition of ""leaking"" is not clear. The insurance company's definition of ""oil"" is not clear. The insurance company's definition of ""fixed"" is not clear. The insurance company's definition of ""heating installation"" is",,-3.271045684814453,-3.005420684814453,-6.497608184814453,-8.783740997314453
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial," """," ""No.""
The insurance company's definition of ""leaking"" is not the same as the ordinary meaning of the word. The insurance company's definition of ""leaking"" is ""the leakage of oil from a fixed oil-fired heating installation.""
The insurance company's definition of ""leaking"" is not",,-3.4489288330078125,-3.245539903640747,-6.515070915222168,-8.746516227722168
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered," """," ""No.""
The insurance company will not pay for the damage.
Mariam's insurance company will not pay for the damage.
Mariam's insurance company will not pay for the damage.
Mariam's insurance company will not pay for the damage.
Mariam's insurance company will not pay for the",,-3.2328081130981445,-3.3265581130981445,-6.3929643630981445,-8.669331550598145
