title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the emergency or perceived emergency does not actually exist.",,-4.931126117706299,-1.931154489517212,-0.18115445971488953,-11.181154251098633,-6.931154251098633,-6.181154251098633,-12.681154251098633,-16.681154251098633
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the emergency or perceived emergency is not actually real.",,-4.673981189727783,-1.9239805936813354,-0.17398060858249664,-13.673980712890625,-9.673980712890625,-9.423980712890625,-13.173980712890625,-17.423980712890625
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the emergency or perceived emergency is not real.",,-5.612216949462891,-2.3622171878814697,-0.11221718788146973,-11.61221694946289,-6.862216949462891,-5.862216949462891,-13.11221694946289,-16.86221694946289
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the first responder is a friend of the policyholder.",,-4.861063480377197,-2.3610634803771973,-0.1110633835196495,-12.861063003540039,-9.361063003540039,-8.361063003540039,-13.611063003540039,-17.73606300354004
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the damage is caused by a forced entry made by first responders due to an emergency involving the policyholder.",,-4.671926021575928,-1.9219257831573486,-0.1719258427619934,-13.42192554473877,-9.92192554473877,-9.42192554473877,-13.42192554473877,-17.921926498413086
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the first responders are firefighters, not just police officers.",,-4.672355651855469,-1.9223558902740479,-0.17235587537288666,-13.672355651855469,-10.172355651855469,-9.422355651855469,-13.672355651855469,-18.04735565185547
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes

**Explanation:**

The insurance policy covers damage from ""Escape of Oil,"" which is defined as ""oil leaking from a fixed oil-fired heating installation."" In this case, the oil spilled was not from a fixed oil-fired heating installation, therefore, Madison is not covered by the insurance.",,-5.2078657150268555,-2.172482490539551,-0.17248249053955078,-9.92248249053955,-5.172482490539551,-3.922482490539551,-12.17248249053955,-15.29748249053955
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered, yes," yes

**Explanation:**

The insurance policy covers damage from ""Escape of Oil,"" which is defined as ""oil leaking from a fixed oil-fired heating installation."" The oil is leaking from the heater, so the damage is covered by the insurance.

However, the word ""leaking"" is a very strong word",,-5.115938186645508,-2.146543502807617,-0.14654354751110077,-11.146543502807617,-7.146543502807617,-5.896543502807617,-12.521543502807617,-15.896543502807617
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial, yes," yes

**Explanation:**

The term ""leaking"" is commonly understood to mean a gradual, continuous flow of liquid from a source. In this sense, ""leaking"" would not necessarily imply a sudden or forceful release of liquid. Therefore, the fact that the oil rushed out of the heater suddenly, rather than",,-4.680065631866455,-1.9300649166107178,-0.18006490170955658,-10.555065155029297,-6.680064678192139,-5.930064678192139,-12.930065155029297,-15.930065155029297
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, yes," yes

**Explanation:**

The definition of ""Escape of Oil"" specifically states ""from a fixed oil-fired heating installation."" The portable oil lamp is not a fixed installation. Therefore, the oil leak does not meet the definition of ""Escape of Oil,"" and Mariam is not covered by her insurance.",,-4.694906234741211,-1.9449063539505005,-0.19490636885166168,-10.819906234741211,-6.944906234741211,-5.694906234741211,-13.069906234741211,-16.56990623474121
