title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, No, No.,,-4.532798767089844,-1.4032663106918335,-1.8720163106918335,-3.122016429901123,-1.4110788106918335,-2.590766429901123,-7.914985179901123,-9.135687828063965
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",unambiguous_covered, Yes, Yes.,,-4.302359104156494,-1.1070467233657837,-1.7007967233657837,-3.513296604156494,-1.7554842233657837,-2.997671604156494,-8.122672080993652,-9.210562705993652
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insurance—yes or no? Final answer is:",controversial, Yes, Yes.,,-4.5049004554748535,-1.301775574684143,-1.864275574684143,-3.2783379554748535,-1.450213074684143,-2.6924004554748535,-8.090838432312012,-9.237322807312012
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, Yes, Yes.,,-4.451483249664307,-1.308772325515747,-1.918147325515747,-3.199397325515747,-1.418147325515747,-2.660334825515747,-8.031428337097168,-9.191584587097168
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",unambiguous_covered, Yes, Yes.,,-4.392660617828369,-1.1814992427825928,-1.8221242427825928,-3.4236867427825928,-1.5877492427825928,-2.8377492427825928,-8.052593231201172,-9.294780731201172
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insurance—yes or no? Final answer is:",controversial, Yes, Yes.,,-4.313241958618164,-1.196054458618164,-1.875741958618164,-3.321054458618164,-1.555429458618164,-2.813241958618164,-7.989023208618164,-9.156991958618164
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, No, No.,,-4.469063758850098,-2.1003146171569824,-2.1940646171569824,-2.5846896171569824,-1.2487519979476929,-1.9753144979476929,-7.721408367156982,-8.817111015319824
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",unambiguous_covered, Yes, Yes.,,-3.872316837310791,-1.5441919565200806,-1.8254419565200806,-2.872316837310791,-1.5910669565200806,-2.536379337310791,-7.657473087310791,-8.85473918914795
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insurance—yes or no? Final answer is:",controversial, Yes, Yes.,,-3.8479137420654297,-1.5744761228561401,-1.7541636228561401,-2.9260387420654297,-1.6916636228561401,-2.4572887420654297,-7.60572624206543,-8.78736686706543
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insurance—yes or no? Final answer is:",unambiguous_uncovered, No, No.,,-4.955307483673096,-1.8195452690124512,-2.546107769012451,-2.827357769012451,-0.9914202690124512,-2.116420269012451,-8.06954574584961,-10.25704574584961
