title,prompt_type,prompt,version,output,output_text,Yes_probs,No_probs,A_probs,B_probs
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

The word ""perceived emergency"" is often used in contexts where there is a potential for ambiguity or exaggeration. In ordinary speech, the term ""perceived emergency"" is",-0.019003354012966156,-7.020263195037842,-12.520262718200684,-17.020263671875
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

The word ""perceived emergency"" is often used in contexts where there is a potential for ambiguity or exaggeration. In ordinary speech, the term ""perceived emergency"" is often used to describe a situation",-0.016054878011345863,-9.2660551071167,-13.0160551071167,-17.766054153442383
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

The word ""perceived emergency"" is understood by ordinary speakers of English to mean an emergency that is perceived by the claimant to be an emergency, even if it is not objectively an emergency. In",-0.01913071982562542,-7.019130706787109,-12.76913070678711,-17.01913070678711
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

The word ""first responder"" is commonly understood to refer to firefighters, police officers, and paramedics. In this case, Sam is not a first responder, he is a friend of Sal",-0.01548845786601305,-8.765488624572754,-13.015488624572754,-18.015487670898438
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

The word ""first responder"" is commonly understood to refer to firefighters, police officers, and paramedics. In this case, the first responders were police officers. Therefore, Salma is covered by her insurance.",-0.02308901585638523,-9.523128509521484,-13.023128509521484,-18.023128509521484
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

The word ""first responder"" is commonly understood to refer to firefighters, police officers, and paramedics. Therefore, in this case, the use of the word ""first responder",-0.019686898216605186,-9.519686698913574,-13.019686698913574,-18.26968765258789
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

The word ""leaking"" is commonly understood to imply a gradual and continuous flow of liquid. In this sense, the word ""leaking"" would not apply to the situation of Madison spilling oil on her hardwood floors, as the oil was not flowing continuously from the container. Therefore, Madison would not be covered",-0.05331797897815704,-5.303317070007324,-11.553317070007324,-15.803317070007324
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

The word ""leaking"" is commonly understood to imply a continuous flow of liquid from a source. In this sense, ""leaking"" is synonymous with ""flowing"" or ""streaming."" Therefore, the word ""leaking"" as used in the policy definition for ""Escape of Oil"" is ambiguous and does",-0.038802094757556915,-7.288802146911621,-12.038802146911621,-16.288801193237305
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

The word ""leaking"" is commonly understood to imply a gradual and continuous flow of liquid. It does not necessarily imply an instantaneous release or a sudden burst of liquid. Therefore, in this case, the word ""leaking"" does not accurately describe the situation, as the oil rushed out of the heater instantaneously",-0.04824081063270569,-6.7982401847839355,-11.798240661621094,-16.548240661621094
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

The word ""heating installation"" is commonly understood to refer to a permanently installed heating system in a home. Therefore, the portable oil lamp is not considered to be a heating installation, and Mariam is not covered by her insurance.",-0.09078606963157654,-6.090785980224609,-11.59078598022461,-16.21578598022461
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

The word ""heating installation"" is commonly understood to refer to the equipment used to heat a building, such as a furnace or boiler. In this sense, the term ""heating installation"" is synonymous with ""furnace"" or ""boiler."" Therefore, in the context of Mariam's insurance policy, the term",-0.06313467770814896,-8.063135147094727,-12.063135147094727,-16.813135147094727
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

The word ""heating installation"" is commonly understood to refer to a permanently installed apparatus for heating a building. In this sense, the wall-mounted oil lamp is not a heating installation, as it is not permanently installed. Therefore, Mariam is not covered by the insurance.",-0.07967822998762131,-6.579678058624268,-11.579678535461426,-16.20467758178711
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how the word ""sudden/unforseen "" would be understood by ordinary speakers of English, Is Carol covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

The word ""sudden"" is defined as ""happening quickly, without warning."" The word ""unforeseen"" is defined as ""not expected to happen."" If we consider the definitions of these words, it is clear that the damage to Carol's bathroom wall was not sudden or unforeseen. The leak",-0.0953664481639862,-7.095366477966309,-11.345366477966309,-16.220365524291992
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.
Considering just how the word ""sudden/unforseen "" would be understood by ordinary speakers of English, Is Carol covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

The word ""sudden"" is defined as ""happening quickly, without warning."" The word ""unforeseen"" is defined as ""not expected to happen."" If a pipe bursts suddenly and unexpectedly, it would be considered a sudden and unforeseen event. Therefore, Carol is covered by her insurance policy for the",-0.11985502392053604,-9.869854927062988,-11.369854927062988,-16.994855880737305
Escape of Water I,yes_or_no,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Considering just how the word ""sudden/unforseen "" would be understood by ordinary speakers of English, Is Carol covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

The word ""sudden"" is defined as ""happening quickly, without warning."" The word ""unforeseen"" is defined as ""not expected to happen."" If we consider the definitions of these words, it is clear that the damage to Carol's bathroom wall was not sudden or unforeseen. The pipe",-0.09671306610107422,-8.846696853637695,-11.346696853637695,-16.721696853637695
Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she keeps her pet goldfish in a large glass bowl on the upper floor. One day, the bowl begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how the word ""flow of water "" would be understood by ordinary speakers of English, Is Miranda covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

The word ""flow of water"" is commonly understood to mean a continuous stream of water moving in a particular direction. In this sense, the word ""flow of water"" would not be understood to encompass a sudden, unforeseen flow of water. Therefore, Miranda's claim would not be covered by her insurance policy",-0.033631592988967896,-9.033631324768066,-12.533631324768066,-17.283632278442383
Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she has a washing machine on the upper floor. One day, the washing machine begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how the word ""flow of water "" would be understood by ordinary speakers of English, Is Miranda covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,Yes," Yes

The word ""flow of water"" is commonly understood to mean a continuous stream of water moving in a particular direction. In this sense, the word ""flow of water"" would not be understood to encompass a sudden, unforeseen flow of water. Therefore, Miranda would not be covered by her insurance policy for the damage",-0.036378081887960434,-8.786377906799316,-12.286377906799316,-17.036378860473633
Escape of Water II,yes_or_no,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Miranda lives in a two-story house, and she has a large plastic water cooler on the upper floor. One day, the cooler begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.
Considering just how the word ""flow of water "" would be understood by ordinary speakers of English, Is Miranda covered by the insurance?? Yes or No? Final answer is:",controversial,Yes," Yes

The word ""flow of water"" is commonly understood to mean a continuous stream of water moving in a particular direction. In this sense, the word ""flow of water"" would not be understood to encompass a sudden, unforeseen flow of water. Therefore, Miranda would not be covered by her insurance policy for the damage",-0.0463503934442997,-8.546350479125977,-12.046350479125977,-17.046350479125977
Escape of Water III,yes_or_no,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as ""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""
Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda, a sculpture artist, fills the tub with paint in order to dip her sculptures in paint, but the tub suddenly cracks and begins to leak, causing the paint to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.
Considering just how the word ""internal source "" would be understood by ordinary speakers of English, Is Belinda covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,Yes," Yes

The word ""internal source"" is ambiguous and has a variety of meanings. However, in the context of this insurance policy, the word ""internal source"" is most likely to be understood by ordinary speakers of English to mean a source of water that is inside the insured property.",-0.04509678855538368,-7.794919967651367,-12.044919967651367,-17.294919967651367
