title,prompt_type,prompt,version,output,output_text,cum_logprob
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,No," No!
Joanne's house is foreclosed and the cost of making it livable again is passed down to her (and her husband) as well as her children (and their children). Joanne was denied a refund and is presently waiting for an answer from her insurance company.
Why is this a legal issue? It's a question that must be answered with",
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,No," No!
Joanne's house is now a storage unit in an abandoned building.
A few days later, Joanne goes to the local police station for an explanation of what happened. The officer tells her that he has no idea what a ""perceived emergency"" was, and refuses to give her a call. In a state where the police do not exist, the only recourse for",
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",controversial,No," No!
Joanne's house is foreclosed and the cost of making it livable is $10,000. ( A house that is 20 years old is not worth $10,000. )
Joanne has no idea what a ""perceived emergency"" would be. So, the insurance company provides her with a ""perceived emergency"" story to fill the gap.
",
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,No," No!
From the standpoint of Salma's insurance company, she was not entitled to protection under the insurance policy because the forced entry was not caused by a burglar. The policyholder had not caused the forced entry by acting in an ""unlawful manner,"" such as breaking into the home of a stranger. In other words, the claim must be based on the law.
The",
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,No," No!
From the insurance company's perspective, the police did not force their entry into her home, and neither did the police arrest the burglar for breaking in, thus removing the insured from the premises. Thus, the police acted in a legal way and were entitled to use force against the intruder, even though they were not acting on the directions of the policyholder, even if the policyholder's actions were not",
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",controversial,No," No!
From the standpoint of Salma's insurance company, she was not entitled to protection under the insurance policy because the forced entry was not caused by a burglar. The policyholder had not caused the forced entry by acting in an ""unlawful manner,"" such as breaking into the home of a stranger. In other words, the claim must be based on the law",
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,No," No!
From the insurance company's website:
""The cost of replacement of the damaged property will be determined on a case by case basis. The policy covers any work necessary to complete the repairs. However, it does not include the cost of repairing or replacing any furniture or fixtures, and it does not cover damage to your home or personal property.""
If Madison is going to be in the market for a new kitchen, she will need to file a claim with the insurance company for the work. Will she have to fork over the estimated $75,000? No.
Should Madison not be covered by her insurance, she should be able to hire an attorney. A qualified attorney will be able to help her understand and negotiate with her insurance company, and she",
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,No," No!
From the insurance company's website:
""The cost of replacement work depends on the extent of the damage caused by the oil. The difference in cost is charged in the event the repairs are not approved by the insurance company.
""The cost of repair will vary depending on the type of damage. In general, the more severe the damage, the higher the repair cost.""
About the same time, Madison's insurance agent had written a letter to the insurance company, stating that a claim had been made, but that she had not been paid, and that there was a ""possibility that your case has been lost due to loss of correspondence.""
Is Madison covered by the insurance for the damage to her floors? (That may be",
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",controversial,No," No!
From the insurance company's website:
""No, Madison is not covered under this policy.""
At the time of this writing, the insurance company is waiting on a response from Madison.
I'm not sure of the exact wording of the policy, but from what I can gather, the policy covers ""oil leaking from a fixed oil-fired heating installation."" 
I have a feeling that this is not the first time that a ""fixed oil-fired heating installation"" has caused damage to a tenant's home.
A prior tenant, ""Kirk"" posted a picture of her broken door to this blog .  She wrote that the broken door led to a ""collapsed ceiling,",
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,No," No!
From the insurance company's perspective, the lamp is an ""occupational hazard""--that is, it caused her to become ill.
Mariam is a woman of modest means. She has limited resources--$7,000 in fixed oil-fired heating costs. So, the insurance company provides her with a ""free"" claim, or at most, a $600 deductible for the deductible.
Mariam's insurance company might have a somewhat different story. It might have a different interpretation of ""heating installation"" than Is Mariam's insurance company.
In both cases, the exposure to oil from the oil-fired heating installation is seen as a ""medical emergency",
