title,prompt_type,prompt,version,output,output_text,cum_logprob,Yes_prob,No_prob,A_prob,B_prob
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,yes," yes!
Joanne's house is fireproof and completely fireproof, but she received a ""Perceived Emergency"" (PE) claim. Joanne therefore became a tenant in a property that she considers to be her own. Under the ""Perceived Emergency"" rule, if a taxpayer has been told that a taxpayer's property has a fire or destructive defect, that",-171.62381085939705,0.0,0,0.0,0.0
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,yes," yes!
Joanne's house is fireproof and completely fireproof, but she received a ""Perceived Emergency"" (PE) claim. The difference? Joanne was also under the impression that the homeowner's insurance company was covering the majority of her loss (no questions asked). So, the insurance company did not cover the fire damage to the home or her claim for lost wages,",-178.6008227672428,0.0,0,0.0,0.0
Emergency Damages I,yes_or_no,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""perceived emergency"" would be understood by ordinary speakers of English, Is Joanne covered by the insurance?? Yes or No? Final answer is:",controversial,No," No!
Joanne's house is fireproof and completely fireproof, but she has a ""cancellation clause"" in her policy which allows her to terminate coverage if a fire occurs in the home. The term ""cancellation clause"" is very important here. In the event of a fire in a policyholder's home, the insurance company's policy will not cover",-135.25217433273792,0.0,0,0.0,0.0
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,yes," yes!
From the reviews I have seen on the Internet, I am certain that if you buy a second home insurance policy with Salma as your policyholder, you will receive a complete refund. If your home is burglarized, a fight is likely to break out, and Salma will surely find herself in a lawsuit. But if she doesn't, she can still claim a full",-170.49598863138817,0.0,0,0.0,0.0
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,yes," yes!
From the definitions of emergency fire, fire alarm, and fire alarm system, you can determine the coverage under the AIP policy. The difference between what is classified as emergency fire, fire alarm, and fire alarm system is the ""burden."" The burden is defined as the cost of replacing something that is failing or destroyed or something lost in the fire or the incident.
The term ""burden""",-191.66970639443025,0.0,0,0.0,0.0
Emergency Damages II,yes_or_no,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how the word ""first responder"" would be understood by ordinary speakers of English, Is Salma covered by the insurance?? Yes or No? Final answer is:",controversial,yes," yes!
From the reviews I have seen on the Internet, I am certain that if you buy a second-hand vehicle with the dashcams installed, you are either covered under the policy or you are not. If you do not have access to dashcams, you may be considered a ""highly aggressive"" homeowner!
But what if you do have access to dash",-164.89632692665327,0.0,0,0.0,0.0
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,yes," yes!
From the blog:
Milton and his wife, Jenny, are not immune to serious oil leaks on the job. After the oil leaks, what is most damaging is how the oil gets trapped in the high-tension steel door latches and into the door frame, and how this does not just put a dent on the door but literally breaks it, as well. The damage caused by oil leaks is not restricted to Milton and Jenny.
Where did the idea for the oil shower originated?? In 2010, at a panel meeting of the Montgomery County Board of Supervisors, Dr. Michael Kegl, a former chair of the Department of Occupational Safety and Health, presented the concept of oil showers to the board. The idea is to use",-389.50279038600274,0.0,0,0.0,0.0
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",unambiguous_covered,yes," yes!
From the blog:
Milton and his wife, Jenny, are not immune to serious oil leaks from the AEG oil system. The oil leaks from the AEG units in Madison and Montreal have been causing regular nuisance to their neighbours for some time now. It wasn't until the winter of 2012 when they noticed that they had lost some of their cool, that they decided to take a look at the oil leaks in the ducts that run between the two cities.
From that afternoon, Madison and her husband spent some time studying their neighbours' ""oil leaks."" They chose not to take a formal inspection of the ducts because they assumed that the leaky ducts would be repaired. What they found was that the leaky duct",-365.6456097936607,0.0,0,0.0,0.0
Escape of Oil I,yes_or_no,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how the word ""leaking "" would be understood by ordinary speakers of English, Is Madison covered by the insurance?? Yes or No? Final answer is:",controversial,yes," yes!
From the reviews of the fire insurance and furnace insurance,  it seems that Madison's insurance will pay up to $75,000 for the damage. That means she is covered by the most comprehensive fire and furnace insurance of the majority of buyers. She is also covered by the most comprehensive home insurance policy in Madison!
Madison's claim is filed at the county courthouse.  The insurance company does not forward the case to the county where the injury occurred.  But, Madison's insurance company will file a claim for damages for ""Awareness, Trouble Seized.""  And, once the insured claims has been paid, Madison's insurance company will pay the claim to the county on the insured's behalf",-339.0961514413357,0.0,0,0.0,0.0
Escape of Oil II,yes_or_no,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how the word ""heating installation "" would be understood by ordinary speakers of English, Is Mariam covered by the insurance?? Yes or No? Final answer is:",unambiguous_uncovered,yes," yes!
From the reviews, it appears that the installation cost was $2,000, but Mariam claims she only paid $500. The difference? The cost of removing oil from the carpet.
I'm curious as to how a fire is caused by oil leaking from a fixed oil-fired heating installation. I've had a fire in the past at a location where our job in Canada was to repair cement pipes and the smoke from the fumes.
Where did they find the fire? It turned out to be a small building that was leaking oil, but no one knew what was wrong with it.
One of the most common questions I get is, ""I never heard of",-328.6673659833614,0.0,0,0.0,0.0
